SHAPE,sigma,r,adiabatic_time,resamples,overlap,success_prob,dt
22,1,6,1.5,1,0.9036816217995789,0.8534696000885363,0.1
22,1,6,2,1,0.9221427744658379,0.8248768295976301,0.1
22,1,6,2.5,1,0.89308632855551,0.914864999699633,0.1
22,1,6,3,1,0.8841063983376853,0.9624933303832776,0.1
22,1,6,3.5,1,0.902134426552768,0.9471422390485651,0.1
22,1,6,4,1,0.9638030611763208,0.7924444428212105,0.1
22,1,6,4.5,1,0.9484027995221321,0.8783277679829917,0.1
22,1,6,5,1,0.9353293674149259,0.9574221860819357,0.1
22,1,6,5.5,1,0.959948934119152,0.9020120093571395,0.1
22,1,7,0,1,0.8714485785797749,0.9064932545318529,0.1
22,1,7,0.5,1,0.9037105705205231,0.8351157646847899,0.1
22,1,7,1,1,0.8973700837897775,0.8562620675075553,0.1
22,1,7,1.5,1,0.9155385298453014,0.8202916670441774,0.1
22,1,7,2,1,0.8626394900763202,0.9605761040956963,0.1
22,1,7,2.5,1,0.9593474211653632,0.7364291470371627,0.1
22,1,7,3,1,0.916832072602334,0.878946390750774,0.1
22,1,7,3.5,1,0.9000238485234455,0.9515330414823414,0.1
22,1,7,4,1,0.9147206543751062,0.9446017103656277,0.1
22,1,7,4.5,1,0.9311109385220893,0.9327000620722997,0.1
22,1,7,5,1,0.9584021277461477,0.8748872518400822,0.1
22,1,7,5.5,1,0.979922629480588,0.8001709650954951,0.1
22,5,0,0,1,0.8262903013728511,0.9999999999999998,0.1
22,5,0,0.5,1,0.8275542008626663,0.9999999999999993,0.1
22,5,0,1,1,0.831453075579214,1.0000000000000002,0.1
22,5,0,1.5,1,0.837784475316294,0.999999999999998,0.1
22,5,0,2,1,0.8463112049940148,1.0,0.1
22,5,0,2.5,1,0.8567204307459829,0.9999999999999996,0.1
22,5,0,3,1,0.8686338035155077,1.0,0.1
22,5,0,3.5,1,0.8816176909836938,0.9999999999999994,0.1
22,5,0,4,1,0.8951989847159036,0.9999999999999997,0.1
22,5,0,4.5,1,0.9088905675780696,1.0000000000000004,0.1
22,5,0,5,1,0.9222248035445573,1.0000000000000009,0.1
22,5,0,5.5,1,0.9347875580708797,0.9999999999999992,0.1
22,5,1,0,1,0.9980292439641129,0.6202774386633214,0.1
22,5,1,0.5,1,0.9909250848036992,0.5967690668800061,0.1
22,5,1,1,1,0.7844981442586921,0.43413699621111723,0.1
22,5,1,1.5,1,0.8557082795817713,0.9663582263513326,0.1
22,5,1,2,1,0.9955452609827848,0.6066930465298407,0.1
22,5,1,2.5,1,0.8986662498882733,0.9130944001308843,0.1
22,1,0,6,1,0.9462437619015194,1.0000000000000004,0.1
22,1,0,6.5,1,0.9563495224068805,1.0000000000000009,0.1
22,1,0,7,1,0.9649522977281495,0.9999999999999997,0.1
22,1,0,7.5,1,0.9719849765851934,1.0000000000000002,0.1
