SHAPE,sigma,r,adiabatic_time,resamples,overlap,success_prob,dt
1616,1.0,5,10.0,25,0.8957742957781821,0.9141212807128497,0.1
1616,1.5,1,0,25,0.783743191985765,0.8387194795947894,0.1
1616,1.5,2,0,25,0.8004610912626832,0.8371169582352184,0.1
1616,1.5,3,0,25,0.8117481417162503,0.8184043370669086,0.1
1616,1.5,0,0.5,25,0.7262752397486409,1.0000000000000027,0.1
1616,1.5,1,0.5,25,0.7874959409899341,0.8683506662387623,0.1
1616,2.0,1,0.0,25,0.7845418425418731,0.8588787636870765,0.1
1616,3.0,3,2.0,25,0.8902241344307364,0.7620970677237522,0.1
1616,3.0,3,0.0,25,0.8882714621433668,0.7421332366370251,0.1
1616,2.0,2,1.0,25,0.8374549546030697,0.7922671257346169,0.1
1616,2.0,2,2.0,25,0.8372369145939998,0.8204578325852944,0.1
1616,1.0,6,1.0,25,0.8035979253039546,0.8360383721646346,0.1
1616,2.0,2,3.0,25,0.8555014577273639,0.8269749123513903,0.1
1616,1.0,6,5.0,25,0.8483987677356687,0.8846176694673501,0.1
1616,2.0,2,0.0,25,0.8270685150528867,0.803037564787159,0.1
1616,1.5,0,0.0,25,0.724684781177827,1.0000000000000013,0.1
1616,1.5,0,0.5,25,0.7262752397486409,1.0000000000000027,0.1
1616,1.5,1,0.0,25,0.7943008000427884,0.8301765154919082,0.1
1616,1.5,0,1.0,25,0.7311007701364478,1.000000000000001,0.1
1616,1.5,0,1.5,25,0.7386817044345911,0.9999999999999992,0.1
1616,1.5,0,2.0,25,0.7484091632854404,0.9999999999999999,0.1
1616,1.5,0,2.5,25,0.7595777795115337,0.9999999999999954,0.1
1616,1.5,0,3.0,25,0.7714908892348803,1.0000000000000053,0.1
1616,1.5,1,0.5,25,0.7847144964662814,0.875267827631178,0.1
1616,1.5,1,1.0,25,0.7902194125498625,0.854248596457999,0.1
1616,1.5,1,1.5,25,0.7754127281561048,0.8931324791760008,0.1
1616,1.5,1,2.5,25,0.7914311005866964,0.9071634952269518,0.1
1616,1.5,1,2.0,25,0.7996453426838878,0.8570319843880833,0.1
